案例编号,事件名称,"【第一层：通用核心维度】
公众诉求","【第一层：通用核心维度】
热度等级(1-5级）","【第一层：通用核心维度】
回应速度","【第一层：通用核心维度】
处置效果（1-5级）","【第一层：通用核心维度】
策略逻辑类型","【第二层：文化传播类】
涉事主题","【第二层：文化传播类】
载体靶点","【第二层：文化传播类】
舆情诱因","【第二层：文化传播类】
文化禁忌触碰","【第二层：思想政治教育类】
涉事主体","【第二层：思想政治教育类】
载体靶点","【第二层：思想政治教育类】
舆情诱因","【第二层：思想政治教育类】
青年群体共情度","【第二层：政府管理类】
政务主体","【第二层：政府管理类】
载体靶点","【第二层：政府管理类】
舆情诱因","【第二层：政府管理类】
官方通报致命伤","【第二层：技术分析类】
涉事主体","【第二层：技术分析类】
载体靶点","【第二层：技术分析类】
舆情诱因",核心处置策略（100 字内）,事件核心描述（100 字内）,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH001,丽江市古城区文化和旅游局公开发函喊话小红书（2025）,要求政策/规则修改,2级（主榜热搜31-50名）,常规级（24-48h）,4级（显著修复）,行动补救型,品牌方/大中型企业,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,文旅局称多次联系小红书未果，最终通过公开函要求平台指派专人对接、建立专项审核机制。,小红书对婚拍领域"不实避雷帖"审核不力，部分消费者利用夸张标题、虚构内容胁迫商家退款，导致企业直接退订损失100余万元，间接损失超500万元。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH002,江西葛仙村度假区网红NPC“小黄鱼”擦边互动争议（2026）,要求道歉,5级（主榜前3/“爆”）,快速级（4-24h）,4级（显著修复）,"行动补救型,快速道歉型",品牌方/大中型企业,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,景区和“小黄鱼”本人先后发布致歉声明，宣布全面整改，包括规范NPC互动形式、加强职业培训、设立监督机制。景区管理人员当众鞠躬道歉；工作人员证实争议互动已取消，改为赠送簪花等传统文化相关环节。,2026年5月1日，《民生周刊》发文批评景区NPC互动低俗化，点名葛仙村“小黄鱼”用嘴喂糖等行为，称其背离文化传播初衷，可能对未成年人造成不良影响。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH003,苹果龙年手机壳被吐槽指蟒为龙（2024）,情绪宣泄,2级（主榜热搜31-50名）,常规级（24-48h）,2级（无实质变化）,拖延沉默型,品牌方/大中型企业,"微博文娱榜 / 主榜热搜词条,当事人/品牌官方微博评论区（前排广场）",产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,官方并未做出实质性的举措只回应以官网信息为准，随后随着热度消散，人们渐渐适应。,2024年1月21日，为迎接即将到来的农历龙年，苹果推出了AirPods Pro 2龙年特别款，随后有网友指出：中国传统文化里“五爪为龙 四爪为蟒”，实为指蟒为龙。但也有声音表示，中国传统文化中的龙并非一开始就有五爪，而是从三爪、四爪到五爪发展过来的。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH004,鞠婧祎被丝芭实名举报涉嫌偷税漏税（2026）,要求信息公开,5级（主榜前3/“爆”）,"常规级（24-48h）,滞后级（>48h）",1级（负面升级）,拖延沉默型,明星/艺人/公众人物,"微博文娱榜 / 主榜热搜词条,娱乐营销号 / 八卦大V矩阵",粉丝互撕 / 寻衅滋事 / 饭圈拉踩,无,,,,,,,,,,,,税务部门通报鞠婧祎的税务未发现异常，舆论止息,3月30日，艺人鞠婧祎被实名举报涉嫌偷税漏税，税务部门已受理核查，举报材料称其2024年瞒报收入比例高达88%。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH005,广西阳朔辟谣卖花环老人生活孤苦（2026）,要求信息公开,3级（主榜热搜11-30）,滞后级（>48h）,3级（恶化控制）,行动补救型,独立创作者（知名KOL、网文作者、画师等）,"跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,微博文娱榜 / 主榜热搜词条",营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,4月27日，造谣赵雅芝去世的博主道歉。,2024年4月24日，网传赵雅芝去世，赵雅芝工作室发文辟谣称传言不实。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH006,造谣“赵雅芝去世”博主道歉（2024）,"要求问责,要求道歉",3级（主榜热搜11-30）,常规级（24-48h）,4级（显著修复）,快速道歉型,明星/艺人/公众人物,当事人/品牌官方微博评论区（前排广场）,营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,4月28日，桂林举报辟谣平台、阳朔县委网信办联合核查后正式辟谣：网传内容均不属实。官方指出，该不实信息系个别网友未经核实误传或演绎而成，呼吁公众理性传递善意，勿消费悲情、传播不实信息。,2026年4月25日起，社交媒体开始出现“广西阳朔杨堤码头89岁售卖花环老人无儿无女、生活孤苦”的不实信息，相关悲情叙事短视频与图文在4月26日—27日广泛扩散，引发大规模同情与转发。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH007,2男子造谣雄性大熊猫成功自然交配被拘（2026）,要求问责,3级（主榜热搜11-30）,快速级（4-24h）,4级（显著修复）,快速道歉型,独立创作者（知名KOL、网文作者、画师等）,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,当日，成都高新区多部门联合约谈涉事酒店，责令立即整改，并启动全区酒店行业专项整治，后续将依法严肃追责。,2026年5月25日，媒体暗访曝光成都维也纳、全季两家连锁酒店保洁卫生乱象。视频显示，保洁人员违规将客用毛巾当“万能抹布”，擦拭全程未按规定消毒或更换布草。记者提出消杀、换巾要求后，保洁仅用7分钟完成打扫，未落实任何规范流程。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH008,顾客被张雪店员教唆偷开无牌照机车（2026）,要求问责,1级（“实时上升热点”/“文娱榜/同城榜”低位）,快速级（4-24h）,5级（转负为正）,行动补救型,品牌方/大中型企业,微博文娱榜 / 主榜热搜词条,产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,二人行为构成故意虚构事实扰乱公共秩序，警方依据《治安管理处罚法》第二十九条对其予以行政拘留，并依法关停相关网络账号。,违法行为人董某某、高某某为博取关注、吸引流量，利用技术手段伪造虚假新闻报道截图并配误导性文字发布，引发大量不实解读，扰乱网络秩序，造成不良社会影响。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH009,曝全季、维亚纳等酒店保洁把客用毛巾当“万能抹布”（2026）,要求问责,3级（主榜热搜11-30）,快速级（4-24h）,4级（显著修复）,行动补救型,品牌方/大中型企业,"微博文娱榜 / 主榜热搜词条,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）",产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,国家知识产权局数据显示，2023年至今已驳回127.3万件误导性商标申请，宣告无效超3300件，含白象“多半袋”、千禾“0添加”等案例。目前涉事品牌相关产品已下架。,2026年5月24日，央视《法治在线》曝光“心机商标”乱象，直指陈克明、今麦郎等品牌将“手擀”“手打”等品质词汇注册为商标，用于机器生产的产品包装，误导消费者。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH010,央视曝光陈克明、今麦郎等品牌心机商标乱象（2026）,"要求问责,要求政策/规则修改",3级（主榜热搜11-30）,常规级（24-48h）,3级（恶化控制）,行动补救型,品牌方/大中型企业,微博文娱榜 / 主榜热搜词条,产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,黄埔区人社局当日表态企业做法不妥，媒体跟进定性为"赤裸裸的就业歧视"，企业压力陡增后撤下限制。,广州多益网络在校招系统中将"广东工业大学"整体列入黑名单，理由是该校罗姓老师在软件企业认定评审中"颠倒是非"。学生在投递简历时直接弹窗"无法投递"。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX001,郑州西亚斯学院高数课冲突（2026）,情绪宣泄,5级（主榜前3/“爆”）,滞后级（>48h）,"5级（转负为正）,1级（负面升级）",拖延沉默型,,,,,教师/导师/辅导员,社会新闻媒体大V转发介入,师德师风失范,高（击中广泛青年痛点）,,,,,,,,人事处口头回应"非萝卜岗"、纪委称"可能有特殊情况"，始终未发正式通报，舆情持续高烧。,贵州大学一则资产经营管理办公室管理九级岗位招聘公告，要求"配偶为该校在职在编优秀博士+主持2项国家级项目+一作10篇CSSCI+省优秀成果一等奖+校级学术带头人或省级创新团队带头人"五项条件同时满足。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX002,北邮15名研究生联名举报导师郑某事件（2024）,要求问责,5级（主榜前3/“爆”）,常规级（24-48h）,4级（显著修复）,行动补救型,,,,,教师/导师/辅导员,学生素人维权长图 / 录音视频爆料博,师德师风失范（性骚扰、学术压榨、辱骂学生）,高（击中广泛青年痛点）,,,,,,,,涉事的河北承德张雪门店账号已设为私密，门店电话无人接听，相关门店信息在抖音平台及地图软件中已无法检索到。,2026年6月3日，在张雪机车连线直播中，有用户反映门店店员竟教唆用户“晚上偷着骑，交警追不上”。张雪本人对此行为表示强烈谴责，称“直接关店”，并决定为投诉车主更换全新车辆。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX003,黑龙江职业学院学生会查寝事件（2021）,要求问责,4级（主榜前10）,常规级（24-48h）,4级（显著修复）,快速道歉型,,,,,学生会/社团/学生干部,学生素人维权长图 / 录音视频爆料博,后勤/行政管理矛盾（食堂涨价卫生、宿舍封闭、“一刀切”管理）,高（击中广泛青年痛点）,,,,,,,,"校方迅速定性""基本属实""，对涉事学生干部责令停职检查、批评教育，切断舆情升级路径。

⑤ 中央美术学院学生抄袭获一等奖学金事件（2025年11月）

涉事主体：高校/职业院校（党政、行政系统）

载体靶点：微博文娱榜 / 主榜热搜词条

舆情诱因：教育公平争议（保研、奖学金造假）

青年群体共情度：中

应对类型：行动补救型

热度等级：3级

处置效果：3级（恶化控制）

事件核心描述：四川美院研究生魏某发现自己的""握爪""狗狗画作被央美一名学生高度相似地抄袭，但该抄袭者仍获得了央美一等奖学金，引发""带病评奖""质疑。

处置策略：央美党委宣传部表示""正在处理""，但未公开撤销奖学金或处分决定，处置偏保守。

⑥ 贵州大学""萝卜岗""招聘事件（2026年5月）

涉事主体：高校/职业院校（党政、行政系统）

载体靶点：微博文娱榜 / 主榜热搜词条

舆情诱因：教育公平争议

青年群体共情度：高

应对类型：拖延沉默型

热度等级：5级

处置效果：2级（无实质变化）

事件核心描述：贵州大学一则资产经营管理办公室管理九级岗位招聘公告，要求""配偶为该校在职在编优秀博士+主持2项国家级项目+一作10篇CSSCI+省优秀成果一等奖+校级学术带头人或省级创新团队带头人""五项条件同时满足。

处置策略：人事处口头回应""非萝卜岗""、纪委称""可能有特殊情况""，始终未发正式通报，舆情持续高烧。

📍 这个案例的荒谬感在于——普通本科岗位的门槛，绑定了顶尖学者的配偶资质，是近年高校招考公平议题中最抓眼球的标本。

⑦ 广州多益网络""拉黑""广东工业大学全体毕业生（2026年1月）

涉事主体：高校/职业院校（党政、行政系统）

载体靶点：微博要闻榜 / 主榜前排

舆情诱因：教育公平争议

青年群体共情度：高

应对类型：行动补救型

热度等级：4级

处置效果：4级（显著修复）

事件核心描述：广州多益网络在校招系统中将""广东工业大学""整体列入黑名单，理由是该校罗姓老师在软件企业认定评审中""颠倒是非""。学生在投递简历时直接弹窗""无法投递""。

处置策略：黄埔区人社局当日表态企业做法不妥，媒体跟进定性为""赤裸裸的就业歧视""，企业压力陡增后撤下限制。

⑧ 湘潭大学教师成某课堂发表错误言论（2017年起，长期典型）

涉事主体：教师/导师/辅导员

载体靶点：微博文娱榜 / 主榜热搜词条

舆情诱因：错误思潮渗透 / 课堂敏感政治言论

青年群体共情度：中

应对类型：行动补救型

热度等级：3级

处置效果：4级（显著修复）

事件核心描述：成某在两门全校公共选修课中，长期使用国外媒体不实资料图片，丑化党和国家领导人形象、曲解政策、诋毁英雄模范，造成严重不良影响。

处置策略：学校给予留党察看两年、专技岗由10级降至12级的严厉处分，作为全国师德师风负面清单典型案例通报。

⑨ 中南财经政法大学翟某某妄议人大制度事件

涉事主体：教师/导师/辅导员

载体靶点：微博文娱榜 / 主榜热搜词条

舆情诱因：错误思潮渗透 / 课堂敏感政治言论

青年群体共情度：中

应对类型：行动补救型

热度等级：3级

处置效果：4级（显著修复）

事件核心描述：在政治学课堂上，翟某某错误解释中国宪法修改情况、错误介绍国企产权制度、片面介绍其他国家和地区政治制度，违反《新时代高校教师职业行为十项准则》。

处置策略：学校依规依纪给予相应处分，作为反面教材纳入全国高校师德警示教育。

⑩ 浙江大学马克思主义学院26岁博导闵超争议（2025年12月）

涉事主体：高校/职业院校（党政、行政系统）

载体靶点：微博文娱榜 / 主榜热搜词条

舆情诱因：教育公平争议（制度争议）

青年群体共情度：中

应对类型：行动补救型

热度等级：4级

处置效果：3级（恶化控制）

事件核心描述：1999年出生的闵超受聘浙大马院""新百人计划""研究员并具博导资格，舆论质疑""26岁是否够资历""，实质是高校""非升即走""人事改革与公众对""博导""传统认知的术语错位。

处置策略：中青报等主流媒体出面解释""新百人计划""制度设计，但仍未完全弥合公众认知分歧，争议持续。

💡 这条案例的特殊价值在于——它不是师德或公平问题，而是""制度术语""与""公众认知""的话语错位，是思政舆情中较少被讨论的一类诱因子集。

🧭 使用建议

这10条案例覆盖了您表格预设中7种舆情诱因里的6种（师风失范、官僚作风、教育公平、错误思潮渗透、意识形态、课堂敏感言论；仅""校园霸凌/心理危机""未单独成条，可在湖南中医药大学138元暴力维权案例中补充，详见）。

如果您后续要做横向对比，建议把这组案例和您表里已有的 ZF系列（鼠头鸭脖、西安孕妇、唐山打人、郑州赋红码等）​ 并列呈现——前者是""高校小场域""的思政苗头，后者是""社会治理大场域""的同类逻辑，学生在同一个表格里看到两端，最能直观理解""舆情诱因—应对失当—信任崩塌""的三段论。

需要我再帮您把这10条按""涉事主体×舆情诱因""做一张二维交叉表，或者就某一条展开成完整的教学讲稿吗？

源
请再提供10条高校思政舆情案例，需有权威来源
请再帮我找10条关于思想政治教育类舆情案例，要包含网络水军
能否提供这些案例的完整报道链接或原文出处？",网传视频中一学生会干部站在屋檐下让其他学生淋雨听训话，旁边还有学生被罚做俯卧撑，稍有议论即遭辱骂，"好大的官威"瞬间引爆舆论。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX004,山西运城某高校学生会干部"淋雨训话"事件（2021）,要求问责,3级（主榜热搜11-30）,常规级（24-48h）,4级（显著修复）,行动补救型,,,,,学生会/社团/学生干部,学生素人维权长图 / 录音视频爆料博,后勤/行政管理矛盾（食堂涨价卫生、宿舍封闭、“一刀切”管理）,高（击中广泛青年痛点）,,,,,,,,校方至今未发布加盖公章的正式通报，未公开处置结果，也未对当事学生提供心理干预，仅靠招生部门口头回应，错失舆情处置黄金窗口。,高数课上教师因学生用力拉拽黑板，当众嘲讽"只会用蛮力""都是打工的命"，遭长期言语打压的学生情绪崩溃大哭、摔书踢凳，课堂秩序中断，视频全网刷屏。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX005,中央美术学院学生抄袭获一等奖学金事件（2025）,要求信息公开,3级（主榜热搜11-30）,滞后级（>48h）,3级（恶化控制）,行动补救型,,,,,高校/职业院校（党委、行政、后勤系统）,小众群体互助超话（如考研超话、法考超话、特定专业超话）,教育公平争议（保研、奖学金、评优造假）,中（引发本校/同类院校共鸣）,,,,,,,,学校24小时内宣布取消郑某研究生导师资格、停止教学工作、给予降低岗位等级处分，快速切割赢得舆论认可。,北邮15名研究生联名提交20余页举报材料，指控导师郑某长期安排学生代取快递、打扫家中卫生、接送其子女、侮辱谩骂，将其视作"私人助理"而非科研指导者。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX006,贵州大学"萝卜岗"招聘事件（2026）,要求政策/规则修改,5级（主榜前3/“爆”）,滞后级（>48h）,2级（无实质变化）,拖延沉默型,,,,,高校/职业院校（党委、行政、后勤系统）,高校官方微博（蓝V）评论区,教育公平争议（保研、奖学金、评优造假）,高（击中广泛青年痛点）,,,,,,,,学校给予留党察看两年、专技岗由10级降至12级的严厉处分，作为全国师德师风负面清单典型案例通报。,成某在两门全校公共选修课中，长期使用国外媒体不实资料图片，丑化党和国家领导人形象、曲解政策、诋毁英雄模范，造成严重不良影响。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX007, 广州多益网络"拉黑"广东工业大学全体毕业生（2026）,要求政策/规则修改,4级（主榜前10）,快速级（4-24h）,4级（显著修复）,行动补救型,,,,,高校/职业院校（党委、行政、后勤系统）,校园表白墙 / 万能墙 / 本地吐槽Bot账号,教育公平争议（保研、奖学金、评优造假）,高（击中广泛青年痛点）,,,,,,,,学校快速通报，对6名涉事学生通报批评，召开全院整风肃纪大会，明确切割立场。,多名学生干部身穿西装闯入女生宿舍"查寝"，扬言"除了我们6个谁管你们都不好使"，姿态嚣张到网友一开始以为是摆拍段子，校方通报后才确认属实。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX008,湘潭大学教师成某课堂发表错误言论（2017年起）,要求问责,3级（主榜热搜11-30）,滞后级（>48h）,4级（显著修复）,行动补救型,,,,,教师/导师/辅导员,学生素人维权长图 / 录音视频爆料博,错误思潮渗透 / 课堂敏感政治言论发表,中（引发本校/同类院校共鸣）,,,,,,,,央美党委宣传部表示"正在处理"，但未公开撤销奖学金或处分决定，处置偏保守。,四川美院研究生魏某发现自己的"握爪"狗狗画作被央美一名学生高度相似地抄袭，但该抄袭者仍获得了央美一等奖学金，引发"带病评奖"质疑。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX009,中南财经政法大学翟某某妄议人大制度事件（2017）,要求问责,3级（主榜热搜11-30）,滞后级（>48h）,4级（显著修复）,行动补救型,,,,,教师/导师/辅导员,学生素人维权长图 / 录音视频爆料博,错误思潮渗透 / 课堂敏感政治言论发表,中（引发本校/同类院校共鸣）,,,,,,,,在政治学课堂上，翟某某错误解释中国宪法修改情况、错误介绍国企产权制度、片面介绍其他国家和地区政治制度，违反《新时代高校教师职业行为十项准则》。,学校依规依纪给予相应处分，作为反面教材纳入全国高校师德警示教育。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SX010,浙江大学马克思主义学院26岁博导闵超争议（2025）,情绪宣泄,4级（主榜前10）,快速级（4-24h）,3级（恶化控制）,行动补救型,,,,,高校/职业院校（党委、行政、后勤系统）,高校官方微博（蓝V）评论区,教育公平争议（保研、奖学金、评优造假）,中（引发本校/同类院校共鸣）,,,,,,,,中青报等主流媒体出面解释"新百人计划"制度设计，但仍未完全弥合公众认知分歧，争议持续。,1999年出生的闵超受聘浙大马院"新百人计划"研究员并具博导资格，舆论质疑"26岁是否够资历"，实质是高校"非升即走"人事改革与公众对"博导"传统认知的术语错位。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF001,鼠头鸭脖事件（2023）,"要求问责,要求信息公开",5级（主榜前3/“爆”）,滞后级（>48h）,2级（无实质变化）,先否认后道歉型,,,,,,,,,公共服务窗口与机构,"微博要闻榜 / 主榜前排,央媒 / 党媒 / 地方官媒（红V）定调报道",公共安全与灾害（突发事故救援迟缓、瞒报漏报）,结论反转/自我打脸,,,,高校学生发布食堂餐食中出现疑似鼠头的视频，属地监管部门最初认定为鸭脖，引发公众质疑。经省级联合调查后确认异物为鼠类头部组织，事件因官方结论反转迅速升级为全国性食品安全舆情,启动跨层级调查机制，公开检测过程和证据链，对失职监管人员追责，并通过权威第三方机构复核结果，以重建公众信任,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF002,西安孕妇流产事件（2022）,"要求道歉,要求问责,要求政策/规则修改",5级（主榜前3/“爆”）,快速级（4-24h）,4级（显著修复）,快速道歉型,,,,,,,,,公共服务窗口与机构,"微博要闻榜 / 主榜前排,央媒 / 党媒 / 地方官媒（红V）定调报道",弱势群体（老弱病残孕）权益受损求助未果,缺乏人文关怀/同理心,,,,疫情封控期间，一名孕妇因医院要求提供核酸证明而无法及时入院，最终流产。现场视频引发全网关注，公众普遍认为防疫措施缺乏人文关怀,第一时间公开道歉并启动问责，对涉事医院进行整改，完善特殊群体绿色就医通道，将生命救治优先原则纳入防疫政策执行规范,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF003,唐山烧烤店打人事件（2022）,"要求问责,情绪宣泄",5级（主榜前3/“爆”）,黄金级（1-4h）,4级（显著修复）,行动补救型,,,,,,,,,公法检系统,"微博要闻榜 / 主榜前排,时事/法律公知大V点评博文",恶性社会治安/刑事案件调查通报争议,避重就轻/逻辑漏洞,,,,烧烤店内多名男子暴力殴打女性的视频在网络传播，引发社会对治安环境和女性安全问题的广泛讨论，迅速登上全国热搜,迅速抓捕涉案人员，异地指定管辖开展调查，持续公布案件进展，通过专项治安整治行动回应公众安全诉求,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF004,郑州720暴雨地铁事件（2021）,"要求问责,要求赔偿/补偿,要求信息公开",5级（主榜前3/“爆”）,常规级（24-48h）,4级（显著修复）,行动补救型,,,,,,,,,地方党委政府,"微博要闻榜 / 主榜前排,央媒 / 党媒 / 地方官媒（红V）定调报道",公共安全与灾害（突发事故救援迟缓、瞒报漏报）,信息披露不完整,,,,特大暴雨导致地铁5号线积水严重并造成乘客遇难。公众关注预警发布、停运决策和应急处置过程中的责任问题,成立高规格调查组，公开调查报告和责任认定结果，对相关责任人追责，同时推进城市防洪和轨道交通应急体系改革,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF005,北极鲶鱼炫富事件（2023）,"要求问责,要求信息公开",5级（主榜前3/“爆”）,滞后级（>48h）,2级（无实质变化）,拖延沉默型,,,,,,,,,党政机关领导干部群体,"微博要闻榜 / 主榜前排,时事/法律公知大V点评博文",官僚主义与作风（懒政、踢皮球、特权炫耀、傲慢回怼）,无实质信息增量,,,,网民“北极鲶鱼”在社交平台发布炫富言论，并涉及其家属可能存在权力寻租问题，引发公众对干部廉洁问题的关注,尽快启动纪检调查并定期公布进展，避免长期沉默；通过公开处理结果回应公众关切，减少猜测和舆情持续发酵,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF006,提灯定损事件（2024）,"要求政策/规则修改,要求问责",4级（主榜前10）,常规级（24-48h）,3级（恶化控制）,先否认后道歉型,,,,,,,,,地方党委政府,"微博同城热搜榜,微博要闻榜 / 主榜前排",官僚主义与作风（懒政、踢皮球、特权炫耀、傲慢回怼）,避重就轻/逻辑漏洞,,,,租客退租时遭遇房东“提灯验房”，被要求承担高额赔偿。视频传播后，公众质疑基层调解和租赁市场监管失效,及时介入调查事实真相，公开调解依据，推动租赁纠纷处理标准化建设，并纠正基层处置过程中存在的偏颇行为,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF007,河北迁西举报案（2022）,"要求信息公开,要求问责",4级（主榜前10）,滞后级（>48h）,2级（无实质变化）,拖延沉默型,,,,,,,,,公法检系统,央媒 / 党媒 / 地方官媒（红V）定调报道,恶性社会治安/刑事案件调查通报争议,无实质信息增量,,,,退休干部实名举报当地企业和相关问题后被刑事拘留，引发公众对举报人权益保护和案件办理公正性的广泛讨论,引入上级机关或异地调查机制，公开案件关键事实和法律依据，增强程序透明度，保障举报人与公众知情权,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF008,郑州赋红码事件（2022）,"要求问责,要求政策/规则修改",5级（主榜前3/“爆”）,快速级（4-24h）,4级（显著修复）,行动补救型,,,,,,,,,地方党委政府,"微博要闻榜 / 主榜前排,政务蓝V官方通报评论区",政策执行冲突（朝令夕改、“一刀切”缺乏人道关怀）,避重就轻/逻辑漏洞,,,,部分村镇银行储户反映健康码被赋予红码，影响正常出行和维权活动。事件引发公众对数字治理权力边界的质疑,迅速纠正违规赋码行为，公开责任认定结果，对相关责任人员追责，并建立健康码使用监督和审计机制,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF009,城管暴力执法事件,"要求问责,情绪宣泄",3级（主榜热搜11-30）,快速级（4-24h）,3级（恶化控制）,快速道歉型,,,,,,,,,基层一线执法人员,微博同城热搜榜,依法行政争议（暴力执法、过度执法、程序违规）,行话套话过多,,,,执法人员在管理流动摊贩过程中出现肢体冲突或过激执法行为，相关视频经网络传播后引发公众对执法规范性的讨论,第一时间调查取证并公布处理结果，对违规执法人员问责，加强执法培训和全过程记录制度建设,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF010,哈尔滨冰雪旅游投诉事件（2024）,"要求赔偿/补偿,要求政策/规则修改",4级（主榜前10）,黄金级（1-4h）,5级（转负为正）,行动补救型,,,,,,,,,地方党委政府,"微博同城热搜榜,央媒 / 党媒 / 地方官媒（红V）定调报道","官僚主义与作风（懒政、踢皮球、特权炫耀、傲慢回怼）,公共服务质量问题",无,,,,冰雪旅游旺季期间，部分游客反映出租车绕路、价格不透明及服务质量问题，引发网络集中讨论，影响城市旅游形象,快速核查投诉线索，严肃查处违规经营行为，公开整改措施，并通过服务升级和市场监管提升城市品牌形象,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
